,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude
0,Abhirampur,22.530693771856434,88.34650250291418,Balaram Mullick & Radharaman Mullick,Indian Sweet Shop,22.53309675113572,88.34708213260403
1,Abhirampur,22.530693771856434,88.34650250291418,Jai Hind Dhaba,Dhaba,22.533109206899187,88.35326750112607
2,Abhirampur,22.530693771856434,88.34650250291418,Balwant Singh's Eating House,Dhaba,22.537714013534053,88.34421978219828
3,Abhirampur,22.530693771856434,88.34650250291418,Oh! Calcutta,Bengali Restaurant,22.53835691442138,88.35140625118088
4,Abhirampur,22.530693771856434,88.34650250291418,Red Hot Chilli Pepper,Chinese Restaurant,22.529016083164827,88.35580534635506
5,Abhirampur,22.530693771856434,88.34650250291418,Tyre Patty,Café,22.538047883894258,88.34916916320414
6,Abhirampur,22.530693771856434,88.34650250291418,Privy Ultra Lounge,Nightclub,22.538145062632534,88.35112105873428
7,Abhirampur,22.530693771856434,88.34650250291418,The Corner Courtyard,Hotel,22.52577918884149,88.35261113769022
8,Abhirampur,22.530693771856434,88.34650250291418,Balwant Singh's Snack Corner,Fast Food Restaurant,22.537708685771694,88.34422786780709
9,Abhirampur,22.530693771856434,88.34650250291418,The Bikers Cafe,American Restaurant,22.537719331717604,88.34899306297302
10,Abhirampur,22.530693771856434,88.34650250291418,Forum Mall,Shopping Mall,22.53860126968133,88.35111737251282
11,Abhirampur,22.530693771856434,88.34650250291418,Inox,Multiplex,22.538450321858086,88.35138027670322
12,Abhirampur,22.530693771856434,88.34650250291418,Cafe Coffee Day,Café,22.525475667229617,88.3452969789505
13,Abhirampur,22.530693771856434,88.34650250291418,Cafe Mezzuna,Italian Restaurant,22.53835753027732,88.35143268133186
14,Abhirampur,22.530693771856434,88.34650250291418,McDonald's,Fast Food Restaurant,22.53620636516543,88.34635260366345
15,Abhirampur,22.530693771856434,88.34650250291418,Chai Break,Tea Room,22.539381735917196,88.34706981626309
16,Abhirampur,22.530693771856434,88.34650250291418,Pan Asia Continental Hotel,Hotel,22.533065255776958,88.35318837854379
17,Abhirampur,22.530693771856434,88.34650250291418,Ajanta Hotel,Vegetarian / Vegan Restaurant,22.53231362258056,88.34984064102173
18,Abhirampur,22.530693771856434,88.34650250291418,Pepper Chino,Indian Restaurant,22.533765405764033,88.35326313972473
19,Abhirampur,22.530693771856434,88.34650250291418,Shoppers Stop,Department Store,22.53835353486725,88.35131049156189
20,Agarpara,22.68405000000007,88.39165000000008,Axis Bank ATM,ATM,22.68287,88.39429
21,Agarpara,22.68405000000007,88.39165000000008,Agarpara Railway Station,Train Station,22.682885571740055,88.38536381721497
22,Agarpara,22.68405000000007,88.39165000000008,Apollo Pharmacy,Pharmacy,22.6818638,88.3843469
23,Agarpara,22.68405000000007,88.39165000000008,Axis Bank ATM,ATM,22.68897819519,88.383682250977
24,Agarpara,22.68405000000007,88.39165000000008,Axis Bank ATM,ATM,22.68897819519,88.383682250977
25,Ajoy Nagar,22.48966000000007,88.39640000000009,Metro Cash and Carry,Grocery Store,22.49549683979399,88.39871108845009
26,Ajoy Nagar,22.48966000000007,88.39640000000009,Inox,Multiplex,22.48319670950164,88.39080333709717
27,Ajoy Nagar,22.48966000000007,88.39640000000009,Ajoy Nagar,Bus Station,22.489780059160733,88.39488480533251
28,Ajoy Nagar,22.48966000000007,88.39640000000009,The French Loaf,Bakery,22.490871000076805,88.39455319497635
29,Ajoy Nagar,22.48966000000007,88.39640000000009,HDFC Bank ATM,ATM,22.490944,88.390876
30,Ajoy Nagar,22.48966000000007,88.39640000000009,Metropolis Mall,Shopping Mall,22.48319670950164,88.39080333709717
31,Ajoy Nagar,22.48966000000007,88.39640000000009,Big Bazaar,Department Store,22.48319670950164,88.39080333709717
