,Neighbourhood,Latitude,Longitude
0,Abhirampur,22.530693771856434,88.34650250291418
1,Agarpara,22.68405000000007,88.39165000000008
2,Ajoy Nagar,22.48966000000007,88.39640000000009
3,Alipore,22.52660000000003,88.33510000000007
4,Amodghata,22.98801000000003,88.38838000000004
5,Amtala,22.482678048848754,88.37658799417164
6,"Anandapur, Kolkata",22.512078083819034,88.336961916181
7,Ankurhati,22.47640513266778,88.38044069608748
8,Argari,22.57054000000005,88.37124000000006
9,Asuti,22.472170000000062,88.25546000000008
10,B. B. D. Bagh,22.567620000000034,88.34456000000006
11,Babughat,22.56729000000007,88.34106000000008
12,Badartala,22.555079999999997,88.24685148658381
13,Bagbazar,22.604020000000048,88.36638000000005
14,Baghajatin,22.48395000000005,88.37543000000005
15,Baguiati,22.61674000000005,88.42691000000008
16,Baidyabati,22.472510000000057,88.36513000000008
17,Balaram Pota,22.700780000000066,88.38065000000006
18,"Balarampur, Budge Budge",22.497570000000053,88.23033000000004
19,"Bally, Bally-Jagachha",22.647860000000037,88.34428000000008
20,"Bally, Howrah",22.647860000000037,88.34428000000008
21,Ballygunge,22.531780000000026,88.36437000000006
22,Ballygunge Circular Road,22.5303523517102,88.35621146045604
23,Bamangachhi,22.36719000000005,88.38320000000004
24,Bamunari,22.710740000000044,88.30164000000008
25,Bandel,22.529814323843247,88.37228790250983
26,Bangur Avenue,22.62206007407968,88.39374329365678
27,Bankra,22.670020000000022,88.44225000000006
28,Bansberia,22.45727000000005,88.35420000000005
29,Bansdroni,22.471750000000043,88.35670000000005
30,Bantala,22.482650000000035,88.27497000000005
31,Banupur,22.66118000000006,88.41734000000008
32,Baranagar,22.642980000000023,88.37775000000005
33,Barasat,22.69805585900673,88.44339066856064
34,"Barisha, India",22.48222000000004,88.31636000000003
35,Barkalikapur,22.501570000000072,88.39552000000003
36,Barrackpore,22.695640000000026,88.42739000000006
37,Barrackpur Cantonment,22.76361000000003,88.36019000000005
38,Bartala,22.582330227634834,88.35492645261421
39,Baruipur,22.359840000000077,88.43262000000004
40,Batanagar,22.50855000000007,88.22533000000004
41,Behala,22.502110000000073,88.31834000000003
42,Belgachia,22.604720000000043,88.38647000000003
43,Belgharia,22.670250000000067,88.38575000000003
44,Beliaghata,22.564260000000047,88.40312000000006
45,"Belur, West Bengal",22.57054000000005,88.37124000000006
