,0
ATM,113
Airport Lounge,10
Airport Service,7
Airport Terminal,10
American Restaurant,21
Art Gallery,2
Art Museum,30
Arts & Crafts Store,22
Asian Restaurant,93
Awadhi Restaurant,37
BBQ Joint,37
Bakery,157
Bank,3
Bar,3
Bed & Breakfast,1
Beer Bar,1
Beer Garden,2
Bengali Restaurant,104
Boat or Ferry,9
Bookstore,110
Botanical Garden,5
Boutique,39
Bowling Alley,2
Brewery,8
Burger Joint,1
Bus Station,20
Bus Stop,1
Business Service,2
Café,444
Chinese Restaurant,231
Clothing Store,46
Coffee Shop,102
Convenience Store,5
Cricket Ground,37
Department Store,106
Dessert Shop,6
Dhaba,119
Diner,7
Dumpling Restaurant,48
Duty-free Shop,1
Electronics Store,6
Falafel Restaurant,19
Farm,1
Fast Food Restaurant,89
Field,23
Flea Market,4
Food,4
Food Court,6
Food Truck,3
Fried Chicken Joint,45
Frozen Yogurt Shop,7
Furniture / Home Store,2
Gastropub,21
Golf Course,20
Grocery Store,14
Harbor / Marina,20
Health & Beauty Service,5
Historic Site,4
History Museum,58
Hobby Shop,1
Hookah Bar,11
Hostel,3
Hotel,200
Hotel Pool,1
IT Services,7
Ice Cream Shop,17
Indian Restaurant,260
Indian Sweet Shop,153
Indie Movie Theater,29
Indie Theater,2
Irish Pub,11
Italian Restaurant,44
Japanese Restaurant,35
Jewelry Store,2
Juice Bar,28
Karaoke Bar,5
Kerala Restaurant,17
Light Rail Station,1
Lounge,64
Market,21
Mediterranean Restaurant,1
Men's Store,2
Metro Station,32
Military Base,5
Mobile Phone Shop,1
Motorcycle Shop,15
Movie Theater,17
Moving Target,1
Mughlai Restaurant,207
Multicuisine Indian Restaurant,5
Multiplex,123
Museum,2
Music Venue,1
Nature Preserve,1
Neighborhood,37
Nightclub,130
North Indian Restaurant,1
Other Repair Shop,1
Park,70
Performing Arts Venue,3
Pharmacy,21
Pizza Place,172
Planetarium,1
Platform,16
Plaza,101
Pool,25
Pub,77
Resort,1
Restaurant,130
River,1
Sandwich Place,64
Scenic Lookout,1
Seafood Restaurant,1
Shoe Store,2
Shopping Mall,118
Snack Place,42
Soccer Stadium,6
Soup Place,1
South Indian Restaurant,49
Sports Club,24
Stadium,13
Steakhouse,5
Supermarket,1
Tea Room,25
Tex-Mex Restaurant,28
Thai Restaurant,32
Theme Park,8
Tibetan Restaurant,9
Train Station,80
Tram Station,9
Vegetarian / Vegan Restaurant,20
Water Park,1
Women's Store,1
Zoo,2
